Date,WIPRO.NS,BAJAJ-AUTO.NS,HDFCBANK.NS,HEROMOTOCO.NS,TCS.NS,INFY.NS,NESTLEIND.NS,MARUTI.NS,RELIANCE.NS,TATAMOTORS.NS,NSE Index
04-09-2018,206.167389,1980.93396,410.424591,2364.040771,1137.798462,391.659973,5718.661133,2719.982666,485.966309,507.350494,8086.850098
05-09-2018,207.864166,2013.420044,408.786438,2311.480225,1143.895142,393.983276,5658.941895,2704.025391,485.8479,500.427582,8173.899902
08-09-2018,211.722137,2030.330078,416.639801,2327.591797,1163.307617,399.358582,5853.009277,2736.783936,491.555939,504.482422,8152.950195
09-09-2018,210.043213,1997.49939,417.049316,2301.269775,1158.267578,394.54306,5862.292969,2731.481201,489.32959,511.454773,8094.100098
10-09-2018,207.774872,2026.371582,413.050385,2245.361572,1144.577393,387.282745,5835.632813,2728.61792,481.205658,510.861359,8085.700195
11-09-2018,205.042175,2010.752563,411.629059,2276.747559,1143.785156,389.062195,5992.798828,2738.145508,482.887268,508.685608,8105.5
12-09-2018,205.399384,2020.993042,412.27951,2308.760254,1147.856689,387.557343,5839.062012,2789.48999,481.087219,511.504242,8042
15-09-2018,202.988159,2007.310059,414.519897,2343.15918,1126.155029,384.537018,5788.087402,2780.854492,475.000183,506.75708,7932.899902
16-09-2018,199.844696,1981.579224,410.015015,2335.500977,1122.876099,385.587738,5629.759766,2769.355713,463.939392,494.246399,7975.5
17-09-2018,202.666687,1996.725098,407.798737,2367.471924,1140.637573,395.071045,5576.953613,2785.172119,468.321075,501.367096,8114.75
18-09-2018,207.828476,2059.71875,413.459869,2504.689209,1163.131958,390.419128,5701.160645,2856.040527,476.018646,519.613892,8121.450195
19-09-2018,210.186096,2075.983398,414.47171,2470.165527,1194.782227,390.952484,5544.068359,2893.304688,471.542206,513.185547,8146.299805
22-09-2018,207.721283,2076.155273,412.833588,2509.041992,1198.127686,385.519226,5518.60498,2878.098633,469.694855,534.1026,8017.549805
23-09-2018,208.149963,2059.8479,408.979156,2492.595947,1183.33667,380.925354,5414.54834,2873.96875,457.520782,512.097595,8002.399902
24-09-2018,211.73996,2035.192261,412.159058,2463.344238,1163.439819,384.906647,5614.920898,2883.355225,457.141785,507.746094,7911.850098
25-09-2018,208.096375,2023.05835,409.509094,2454.723633,1192.316895,389.785553,5595.867188,2869.697754,440.467682,498.795715,7968.850098
26-09-2018,210.257538,2014.410034,419.964294,2424.552246,1181.487793,388.639771,5641.026367,2851.628662,442.078186,505.471405,7958.899902
29-09-2018,211.775711,1983.644653,416.808441,2394.087158,1218.442749,395.915985,5685.039551,2823.609863,442.030884,505.125244,7964.799805
30-09-2018,213.186707,2023.703979,420.446106,2376.553223,1204.642334,395.778564,5467.219238,2874.95459,447.9758,496.619965,7945.549805
01-10-2018,219.955963,2010.365234,418.205688,2406.180908,1221.809937,406.291504,5505.963379,2788.691895,439.212341,497.213348,7852.399902
07-10-2018,220.938293,2010.580322,415.531708,2350.272949,1202.331665,404.601837,5457.140137,2758.373535,438.714966,499.38913,7842.700195
08-10-2018,212.025772,2021.036499,418.01297,2342.656738,1181.13623,385.471558,5428.791992,2770.05957,443.712463,503.394501,7960.549805
09-10-2018,209.775314,2044.787842,427.649017,2359.312012,1191.194092,385.117859,5517.414063,2821.779785,452.215393,514.866821,7859.950195
10-10-2018,208.864365,2025.467773,417.868439,2377.766357,1179.066772,410.658234,5398.196777,2784.233398,455.057526,487.274017,7884.25
13-10-2018,208.810791,2021.294556,422.445557,2406.097412,1195.816528,416.350281,5502.712891,2790.475342,453.754883,490.784943,7864
14-10-2018,207.203323,2075.681885,418.374329,2387.349609,1188.178711,413.789398,5446.51416,2780.38501,455.341766,482.625793,
15-10-2018,207.203323,2075.681885,418.374329,2387.349609,1188.178711,413.789398,5446.51416,2780.38501,455.341766,482.625793,7748.200195
16-10-2018,204.792099,2033.987427,413.797241,2342.573242,1178.890991,411.341797,5266.706543,2756.68457,441.012451,478.472046,7779.700195
17-10-2018,202.148712,2042.291992,426.516815,2405.302246,1074.586548,409.889099,5216.648926,2760.67334,444.280945,470.56015,7879.399902
20-10-2018,198.755173,2076.198486,430.636261,2458.698975,1066.728638,405.706879,5284.249023,2819.432617,442.930878,489.202576,7927.75
21-10-2018,204.792099,2075.724854,431.479401,2507.367676,1071.174438,401.513916,5468.316406,2887.016113,440.230835,495.927704,7995.899902
